OBJECTID,BLOCK GEO ID,Median morning temperature,Median afternoon temperature,Median evening temperature,Percent tree coverage,Percent impervious coverage,Mean distance to water,TRACT GEO ID,Contains heat mapping,Total Pop,ALAND20,AWATER20,Percent heat mapping coverage,HRA name 2010,HRA ID 2010,HRA ID 2020,HRA name 2020,CITYNAME,include,2010 Census Tract Geo ID,Cardiovascular disease mortality rate,Quintile rank of cardiovascular disease mortality rate,Life expectancy,Quintile rank of life expectancy,Percent adults with diabetes,Quintile rank of adults with diabetes,Climate Change Disadvantaged,Clean Energy and Energy Efficiency Disadvantaged,Health Burdens Disadvantaged,Affordable and Sustainable Housing Disadvantaged,Reduction and Remediation of Legacy Pollution Disadvantaged,Clean Transit Disadvantaged,Training and Workforce Development Disadvantaged,Critical Clean Water and Waste Infrastructure Disadvantaged,Identified as disadvantaged,Percent of Population 65 Years and Over who Lives Alone,Percent of adults 18 years and over who have limited English ability,Percent of population with a disability,SVI Overall percentile ranking,SVI Sum of series for Socioeconomic Status theme,SVI Sum of series for Household Characteristics theme,SVI Sum of series for Racial and Ethnic Minority Status theme,SVI Sum of series for Housing Type / Transportation theme,SVI Sum of series themes,Percent of population whose income in the past 12 months is under 2.00x (200% of) the federal poverty level,Quintile rank of SVI overall theme,Quintile rank of SVI Socioeconomic Status theme,Quintile rank of SVI Household Characteristics theme,Quintile rank of SVI Racial and Ethnic Minority Status theme,Quintile rank of SVI Housing Type / Transportation theme,Quintile rank of senior social isolation,Quintile rank of limited English population,Quintile rank of population under 200% of the federal poverty level,Quintile rank of population with a disability,Quintile rank of tree coverage,Quintile rank of impervious coverage,Quintile rank of distance to water,Quintile rank of morning temperature,Quintile rank of afternoon temperature,Quintile rank of evening temperature,Percent LCI opportunity area coverage,Contains LCI opportunity area,Quintile rank of cardiovascular disease mortality rate,Shape__Area,Shape__Length,FEMA Community Disaster Resilience Zone,King County Council district,School District,Percent under 18 years old,Percent severe housing cost burdened,Percent single family homes,Percent multi-family homes,Quintile rank of population under 18,Quintile rank of households with severe housing cost burden,Quintile rank of multi-family homes
34,530330014001001,61.237548828125,89.7850570678711,86.3727951049805,0.265910365891666,0.441234254011556,6246.64652897762,53033001400,1,56,20124,0,100.000000000753,NW Seattle,2800,55,Seattle - Ballard,Seattle,1,53033001400,181.07,3,81.4,3,0.049,2,0,0,0,0,0,0,0,0,0,29.7,2.2,8.3,0.233,1.5612,1.4032,0.5116,2.4393,5.9153,13.8,2,2,1,2,3,4,1,3,3,3,2,3,2,4,4,0,0,3,216601.49710083,1979.24596619486,0,4,Seattle,16.5,13.2083891120036,61.2,38.160632542655,2,3,3
35,530330041011001,62.1392135620117,88.5315628051758,85.3818359375,0.466219786025624,0.302732624151368,884.196071868443,53033004101,2,204,208911,0,88.5102153916831,NE Seattle,2600,49,"Seattle - Laurelhurst, Sand Point, and Wedgwood",Seattle,1,53033004100,109.94,1,85.5,1,0.009,1,0,0,0,0,0,0,0,0,0,14.1,3.4,6,0.0006,0.1537,1.6733,0.1741,0.5693,2.5704,5.09999999999999,1,1,2,1,1,2,1,1,1,1,2,1,4,2,3,0,0,1,2248571.66253662,7376.6197064327,0,2,Seattle,26.8,7.79783393501805,90,10.0346020761246,5,1,2
36,530330063002013,60.7299499511719,89.4448471069336,86.0288009643555,0.43505308251071,0.532389112670404,1698.6045369282,53033006300,1,60,22447,0,100.000000000988,Capitol Hill/E.lake,2200,41,"Montlake, Madison Park, and Madrona",Seattle,1,53033006300,100.42,1,84.2,1,0.034,1,0,0,0,0,0,0,0,0,0,27.7,0.7,6.1,0.2828,1.6659,2.7688,0.1102,1.7956,6.3405,6.90000000000001,2,2,4,1,2,3,1,1,1,1,3,1,2,3,4,0,0,1,241605.241241455,2261.83770671239,0,2,Seattle,22.9,15.0319428786171,54.9,45.0872988702499,4,4,4
37,530330063001026,60.3567390441895,89.3550720214844,85.7317962646484,0.436455770572467,0.54279637077889,1786.62660760395,53033006300,1,17,11387,0,99.9999999995571,Capitol Hill/E.lake,2200,41,"Montlake, Madison Park, and Madrona",Seattle,1,53033006300,100.42,1,84.2,1,0.034,1,0,0,0,0,0,0,0,0,0,27.7,0.7,6.1,0.2828,1.6659,2.7688,0.1102,1.7956,6.3405,6.90000000000001,2,2,4,1,2,3,1,1,1,1,4,1,2,3,3,0,0,1,122565.299926758,1833.04352154121,0,2,Seattle,22.9,15.0319428786171,54.9,45.0872988702499,4,4,4
38,530330063004006,62.8726692199707,89.8244094848633,87.6405944824219,0.364876939322557,0.675463438340204,1026.80988896358,53033006300,1,16,7720,0,100.000000000683,Capitol Hill/E.lake,2200,41,"Montlake, Madison Park, and Madrona",Seattle,1,53033006300,100.42,1,84.2,1,0.034,1,0,0,0,0,0,0,0,0,0,27.7,0.7,6.1,0.2828,1.6659,2.7688,0.1102,1.7956,6.3405,6.90000000000001,2,2,4,1,2,3,1,1,1,2,4,1,5,4,5,0,0,1,83095.5411987305,1337.21335562483,0,2,Seattle,22.9,15.0319428786171,54.9,45.0872988702499,4,4,4
39,530330078004015,61.2703762054443,88.4112815856934,83.8892211914063,0.556329981718464,0.408691433221696,2562.3409908765,53033007800,1,19,7313,0,100.000000000004,Central Seattle,2300,41,"Montlake, Madison Park, and Madrona",Seattle,1,53033007800,121.04,1,82.9,2,0.034,1,0,0,0,0,0,0,0,0,0,24,2.3,10.2,0.0305,0.4301,2.3297,0.3448,0.9058,4.0104,10.1,1,1,3,1,1,3,1,2,4,1,2,2,2,1,1,0,0,1,78709.748626709,1343.22055843004,0,2,Seattle,19.6,17.4266365688488,86.5,13.4539038376709,3,4,2
40,530330078004033,62.4637985229492,89.0983390808105,86.2291030883789,0.430466324684164,0.46709193964867,1654.07494603207,53033007800,1,109,37776,0,99.9999999993053,Central Seattle,2300,41,"Montlake, Madison Park, and Madrona",Seattle,1,53033007800,121.04,1,82.9,2,0.034,1,0,0,0,0,0,0,0,0,0,24,2.3,10.2,0.0305,0.4301,2.3297,0.3448,0.9058,4.0104,10.1,1,1,3,1,1,3,1,2,4,1,3,1,4,2,4,0,0,1,406600.893463135,3840.93042976032,0,2,Seattle,19.6,17.4266365688488,86.5,13.4539038376709,3,4,2
41,530330086002016,62.5026550292969,89.0949249267578,85.8107757568359,0.185287654030296,0.735179545516906,5638.58862304687,53033008600,1,224,10653,0,99.9999999995603,Central Seattle,2300,39,"Seattle - Downtown, Belltown, and First Hill",Seattle,1,53033008600,131.3,2,82.9,2,0.017,1,0,0,0,0,0,0,0,0,0,47.2,7,6,0.6895,3.6556,0.9401,0.8208,3.58,8.9965,32.4,4,5,1,4,5,5,2,5,1,4,5,3,4,2,3,0,0,2,114660.426208496,1357.95583063909,0,2,Seattle,3.4,28.4361736859288,5.7,94.3045220377791,1,5,5
42,530330087001012,63.5848636627197,88.0215225219727,84.9270668029785,0.428822784601977,0.510388885254517,5932.43419441344,53033008700,1,57,12715,0,100.000000000076,Central Seattle,2300,34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",Seattle,1,53033008700,123.72,1,82.9,2,0.057,2,0,0,0,0,0,0,0,0,0,30.2,3.7,9.4,0.6369,2.996,1.3688,0.8298,3.4448,8.6394,27.1,4,4,1,4,5,4,1,4,3,1,3,3,5,1,2,0,0,1,136852.50994873,1494.33451673569,0,2,Seattle,10.9,17.8514163548904,34.4,65.604186489058,1,4,5
43,530330087001018,63.6309700012207,88.5485572814941,85.608211517334,0.305695812104458,0.604859429070354,5580.80760091146,53033008700,1,50,9152,0,99.9999999995119,Central Seattle,2300,34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",Seattle,1,53033008700,123.72,1,82.9,2,0.057,2,0,0,0,0,0,0,0,0,0,30.2,3.7,9.4,0.6369,2.996,1.3688,0.8298,3.4448,8.6394,27.1,4,4,1,4,5,4,1,4,3,2,4,2,5,2,3,0,0,1,98502.2257385254,1255.6081316136,0,2,Seattle,10.9,17.8514163548904,34.4,65.604186489058,1,4,5
44,530330017024005,61.2078704833984,89.6206893920898,85.745475769043,0.33976550797996,0.475596400213881,5648.32454833984,53033001702,1,64,20236,0,99.9999999992343,NW Seattle,2800,52,Green Lake and Phinney Ridge,Seattle,1,53033001702,243.85,5,81.4,3,0.065,3,0,0,0,0,0,0,0,0,0,26.9,6.1,9.3,0.4253,1.56,2.0476,0.5466,3.0922,7.2464,13.2,3,2,2,2,4,3,2,2,3,2,3,3,2,3,3,0,0,5,217806.526611328,1984.14092060964,0,4,Seattle,13.2,5.85920419763883,54.3,45.6866537717602,1,1,4
45,530330051001007,62.1129398345947,88.1836433410645,84.9766273498535,0.354254246871697,0.563610855789567,4116.13919886147,53033005100,1,53,8503,0,99.9999999995316,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005100,118.74,1,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,26.4,3.3,2.7,0.2376,1.6261,1.6913,0.4426,2.1763,5.9363,11.6,2,2,2,2,2,3,1,2,1,2,4,2,3,1,2,0,0,1,91517.0448608398,1223.79827805382,0,4,Seattle,19.3,13.2446134347275,55.6,44.3786982248521,3,3,4
46,530330051002004,62.1619148254395,87.2655029296875,83.5133361816406,0.458011950027159,0.472082506129725,2847.83403488685,53033005100,1,34,11545,0,100.000000001143,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005100,118.74,1,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,26.4,3.3,2.7,0.2376,1.6261,1.6913,0.4426,2.1763,5.9363,11.6,2,2,2,2,2,3,1,2,1,1,3,2,4,1,1,0,0,1,124266.413665771,1435.46575063619,0,4,Seattle,19.3,13.2446134347275,55.6,44.3786982248521,3,3,4
47,530330051002009,62.030460357666,86.6938552856445,83.0894546508789,0.362373101015192,0.527950392284162,2502.33452899639,53033005100,1,63,11614,0,100.000000000294,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005100,118.74,1,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,26.4,3.3,2.7,0.2376,1.6261,1.6913,0.4426,2.1763,5.9363,11.6,2,2,2,2,2,3,1,2,1,2,3,1,3,1,1,0,0,1,125004.168884277,1438.92895648512,0,4,Seattle,19.3,13.2446134347275,55.6,44.3786982248521,3,3,4
48,530330051003003,62.6111545562744,86.8708992004395,82.925594329834,0.354028475022632,0.509486721345356,1419.41867957482,53033005100,1,63,12701,0,99.9999999990247,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005100,118.74,1,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,26.4,3.3,2.7,0.2376,1.6261,1.6913,0.4426,2.1763,5.9363,11.6,2,2,2,2,2,3,1,2,1,2,3,1,4,1,1,0,0,1,136702.287017822,1517.90464966036,0,4,Seattle,19.3,13.2446134347275,55.6,44.3786982248521,3,3,4
49,530330054021011,62.7303600311279,88.7806396484375,84.9068870544434,0.343329424247501,0.526351718983376,1792.70949009487,53033005402,1,12,3743,0,99.9999999995447,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005400,261.82,5,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,36.3,0.6,5.5,0.0933,1.6776,0.6863,0.3013,2.1023,4.7675,11.2,1,3,1,1,2,4,1,2,1,2,3,1,4,2,2,0,0,5,40292.4494018555,823.55890376049,0,4,Seattle,6.7,12.3188405797101,23.5,75.0254841997961,1,3,5
50,530330054012018,62.8764953613281,89.9014053344727,86.1716270446777,0.228147148160648,0.72248359380935,706.259301644784,53033005401,1,140,11150,0,100.000000000634,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033005400,261.82,5,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,70.2,5.5,4.5,0.1324,0.7192,0.662,0.606,3.1831,5.1703,9.3,2,1,1,2,4,5,2,2,1,3,5,1,5,4,4,0,0,5,120013.797912598,1423.3140271174,0,4,Seattle,5.1,9.14721295855169,12.6,87.4008810572687,1,2,5
51,530330045002027,62.704496383667,88.2908325195313,84.5998420715332,0.235521624651977,0.603305805697847,4122.3424697876,53033004500,1,146,16592,0,100.000000000175,Fremont/Greenlake,2550,46,Fremont and Wallingford,Seattle,1,53033004500,,0,83.7,1,0.028,1,0,0,0,0,0,0,0,0,0,31.8,2.1,5.7,0.1742,1.9897,0.6626,0.5517,2.2746,5.4786,33.9,2,3,1,2,3,4,1,5,1,3,4,2,4,1,2,0,0,0,178589.363769531,1878.31304786431,0,2,Seattle,15.1,20.7854406130268,83.4,16.6212534059946,2,5,2
52,530330041012005,63.5620651245117,89.2313690185547,86.5163955688477,0.31335081518641,0.543435437663552,1320.53076592807,53033004101,1,26,9166,0,100.000000001556,NE Seattle,2600,49,"Seattle - Laurelhurst, Sand Point, and Wedgwood",Seattle,1,53033004100,109.94,1,85.5,1,0.009,1,0,0,0,0,0,0,0,0,0,14.1,3.4,6,0.0006,0.1537,1.6733,0.1741,0.5693,2.5704,5.09999999999999,1,1,2,1,1,2,1,1,1,2,4,1,5,3,4,0,0,1,98653.8534240723,1343.90926920374,0,2,Seattle,26.8,7.79783393501805,90,10.0346020761246,5,1,2
53,530330119011010,61.7522659301758,89.663215637207,85.7221832275391,0.562430743934261,0.159173745231417,3955.74922433035,53033011901,1,124,105260,0,100.000000000101,Beacon/Gtown/S.Park,2100,29,Seattle - Rainier Valley and Rainier Beach,Seattle,1,53033011900,179.85,3,81.9,3,0.08,3,0,0,0,0,0,0,0,0,0,15.7,29.4,10.8,0.7489,3.1089,3.4672,0.9768,1.8533,9.4062,11.6,4,4,5,5,2,2,5,2,4,1,1,2,3,3,3,0,0,3,1133000.92131042,4854.41655725183,0,2,Seattle,15.7,10.4335047759001,98.8,1.16279069767442,2,2,1
54,530330060003030,62.1121578216553,87.7977561950684,85.2437934875488,0.270732057514409,0.641317946215989,2940.48366699219,53033006000,1,41,10191,0,99.9999999991976,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033006000,136.43,2,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,32.4,1.5,2.4,0.2008,1.4011,0.8993,0.5065,2.8891,5.696,13.9,2,2,1,2,4,4,1,3,1,3,4,2,3,1,3,0,0,2,109692.86050415,1667.90873405578,0,4,Seattle,10.5,10.4848866498741,34.5,65.4904306220096,1,2,4
55,530330070021005,63.2705116271973,89.0731201171875,85.448844909668,0.165135851811998,0.865529754619671,3831.5178125,53033007002,1,157,5440,0,99.9999999972499,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033007000,189.87,3,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,64.9,2,10.8,0.4276,2.3339,1.0629,0.5806,3.2792,7.2566,16.2,3,4,1,2,4,5,1,3,4,4,5,2,5,2,3,0,0,3,58553.7351074219,1053.88866925919,0,4,Seattle,4.4,16.1709258483452,12.9,87.1406371406371,1,4,5
56,530330252021024,61.050895690918,89.6551666259766,85.8716659545898,0.438869481819582,0.352461334307815,8299.09228474867,53033025202,1,194,119432,0,100.000000000066,Renton-East,20000,23,Renton - North,Renton,1,53033025200,216.27,4,80.8,3,0.111,5,0,0,0,0,0,0,0,0,0,43.4,20.8,12,0.7245,2.8606,2.1897,0.8852,3.2907,9.2262,12.4,4,4,3,4,4,5,5,2,4,1,2,3,2,3,3,0,0,4,1285542.42939758,8261.65079877166,0,9,Renton,22.5,9.11949685534591,49.4,47.4332648870637,4,2,4
57,530330303104001,57.4060745239258,89.3842849731445,84.3192825317383,0.669230910123267,0.162183281948261,10073.1931413923,53033030310,1,30,11412,0,99.9999999995863,Fed Way-Central/Military Rd,10100,3,Federal Way - Dash Point and Southern Rim,Federal Way,1,53033030310,209.97,4,76.6,5,0.088,4,0,0,0,0,0,0,0,0,0,19.5,18,11.5,0.6227,1.9387,3.0216,0.9118,2.6613,8.5334,16.5,4,3,5,5,3,2,4,3,4,1,1,4,1,3,2,0,0,4,122848.667022705,1424.65740837555,0,7,Federal Way,24,19.6358907672302,68.5,29.4580057923045,4,5,3
58,530330098021010,62.7789421081543,88.7761306762695,85.6411590576172,0.178076369818229,0.52639071088389,5690.59590594952,53033009802,1,14,6395,0,99.9999999999912,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033009800,114.61,1,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,32.2,4.9,4.4,0.4355,1.893,1.9724,0.3527,3.0898,7.3079,19.8,3,3,2,1,4,4,2,4,1,4,3,3,4,2,3,0,0,1,68831.0019073486,1235.95450318577,0,8,Seattle,17.7,14.971098265896,55.4,44.5539135194308,2,4,4
59,530330077001018,61.8919715881348,88.6373825073242,85.4471588134766,0.293642491864249,0.531373916252827,3494.32039388021,53033007700,1,24,3598,0,100.000000001335,Central Seattle,2300,34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",Seattle,1,53033007700,171.8,3,82.9,2,0.057,2,0,0,0,0,0,0,0,0,0,32.2,1,7.7,0.1821,1.1218,1.1645,0.6767,2.5856,5.5486,13.5,2,2,1,3,3,4,1,3,2,2,3,2,3,2,3,0,0,3,38722.2619934082,949.430729972208,0,2,Seattle,14,12.1149897330595,48.6,51.3665293897417,1,3,4
60,530330074051006,65.0026245117188,90.2978210449219,86.9803466796875,0.234366353071389,0.784296989348706,4013.69567057292,53033007405,1,100,3026,0,100.000000000369,Capitol Hill/E.lake,2200,42,Seattle - Capitol Hill,Seattle,1,53033007402,378,5,84.2,1,0.046,1,0,0,0,0,0,0,0,0,0,100,8.3,10.6,0.7856,4.014,1.6333,0.6365,3.4075,9.6913,26.3,5,5,2,2,5,5,3,4,4,3,5,2,5,4,5,0,0,5,32574.395111084,889.055555059586,0,8,Seattle,5.6,13.6363636363636,3.7,96.32521819017,1,3,5
61,530330305011028,62.5329551696777,91.801513671875,90.5510330200195,0.0924004613317663,0.809457161886153,23490.6852328606,53033030501,1,0,85720,0,100.000000000176,Auburn-North,1000,5,Auburn - North,Auburn,1,53033030501,309.18,5,77.4,5,0.119,5,1,0,1,1,1,1,1,1,1,63.1,9.1,28.5,0.9367,3.5512,3.0548,0.7241,4.0357,11.3658,45.7,5,5,5,3,5,5,3,5,5,5,5,4,4,5,5,0,0,5,922736.909591675,4072.29398045045,1,7,Auburn,11.9,34.2685370741483,9.4,90.5756207674944,1,5,5
62,530330286002007,62.2349472045898,89.6126403808594,86.0519104003906,0.491290173867229,0.307365325748877,4463.98356605644,53033028600,1,21,12693,0,100.000000000443,Des Moines/Normandy Park,9000,15,Des Moines and Normandy Park,Normandy Park,1,53033028600,163.63,3,78.7,4,0.124,5,0,0,0,0,0,0,0,0,0,19.3,1.6,10.7,0.3184,1.7646,2.4185,0.329,2.0519,6.564,10.2,2,3,3,1,2,2,1,2,4,1,2,2,4,3,4,0,0,3,136632.197860718,1502.27989521314,0,5,Highline,22.8,13.9580862000791,78.4,21.6333938294011,4,3,2
63,530330106011017,62.4738426208496,88.3657073974609,86.1397933959961,0.35883120494556,0.466002069803248,4346.60474387887,53033010601,1,32,9773,0,100.000000000702,West Seattle,2960,32,Seattle - West Seattle,Seattle,1,53033010600,95.88,1,84.4,1,0.05,2,0,0,0,0,0,0,0,0,0,33.4,5.8,10.1,0.1154,0.9748,1.6367,0.3324,2.0479,4.9918,7.5,1,1,2,1,2,4,2,1,4,2,3,2,4,1,4,0,0,1,105192.665847778,1629.66947836197,0,8,Seattle,12.9,9.6056622851365,53.2,46.800195407914,1,2,4
64,530330119022005,63.2021903991699,88.9069290161133,85.9653167724609,0.300874291946663,0.420735887689863,315.164916960131,53033011902,2,72,23765,0,82.2416822896671,SE Seattle,2950,29,Seattle - Rainier Valley and Rainier Beach,Seattle,1,53033011900,179.85,3,80.2,3,0.08,3,0,0,0,0,0,0,0,0,0,21.3,16,10.6,0.5781,2.5006,2.6757,0.8445,2.2131,8.2339,28.2,4,4,4,4,2,3,4,5,4,2,2,1,5,2,3,0,0,3,255808.936584473,2524.92745404119,0,2,Seattle,19.1,23.7864077669903,94.1,4.48717948717949,3,5,1
65,530330300082002,62.4942760467529,88.1305465698242,84.284107208252,0.271634523460504,0.596068256010616,5794.45961172369,53033030008,1,91,16399,0,100.000000000804,Fed Way-Dash Pt,10200,7,Federal Way - North Corridor,Federal Way,1,53033030004,340.72,5,77.5,5,0.114,5,0,0,0,0,0,0,1,0,1,30.7,18.8,14,0.8829,3.8074,2.5151,0.9401,3.454,10.7166,33.6,5,5,4,5,5,4,5,5,5,3,4,3,4,1,2,0,0,5,176530.118804932,3210.20977144529,0,7,Federal Way,21.4,24.7178936055884,31.8,64.1411520498184,3,5,4
66,530330032021017,62.6196765899658,88.788646697998,85.4111061096191,0.213967904814278,0.610145043428511,3844.67713789506,53033003202,1,37,8382,0,100.000000001432,Ballard,2000,55,Seattle - Ballard,Seattle,1,53033003200,107.37,1,85.6,1,0.049,2,0,0,0,0,0,0,0,0,0,39.7,0,6.2,0.0588,0.9489,1.6881,0.3742,1.3513,4.3625,5.3,1,1,2,1,1,4,1,1,1,3,4,2,4,2,3,0,0,1,90221.1704711914,1671.41917059078,0,4,Seattle,21.1,8.58725761772853,69,31.0483870967742,3,1,3
67,530330226063009,60.1801223754883,87.6470336914063,84.7590637207031,0.378096733927346,0.372116483539245,10785.1524810248,53033022606,1,121,55775,0,100.000000000314,Redmond,19000,48,Redmond - South,Redmond,1,53033022606,156.76,2,84.7,1,0.036,1,0,0,0,0,0,0,0,0,0,15.8,8.8,8.8,0.1985,1.1944,1.6864,0.6998,2.0937,5.6743,6.3,2,2,2,3,2,2,3,1,3,2,2,4,2,1,2,0,0,2,600317.400299072,4430.69226699451,0,6,Lake Washington,21.3,4.59122029802658,69.3,29.2485549132948,3,1,3
68,530330268011000,62.4470710754395,89.8163566589355,86.3840789794922,0.217804503689998,0.367696083604714,10834.0272521973,53033026801,1,14,9937,0,99.9999999989763,North Highline,18000,26,North Highline and White Center,North Highline (includes White Center),1,53033026801,188.99,3,78.7,4,0.077,3,0,0,0,0,0,0,1,0,1,38,25,11.8,0.9519,4.1835,2.9341,0.9463,3.4767,11.5406,38.4,5,5,5,5,5,4,5,5,4,3,2,4,4,4,4,72.828538171292,1,3,106957.897476196,1736.4556746976,0,8,Highline,20.3,19.8996655518395,47.6,51.4940646745804,3,5,4
69,530330076001013,62.2654571533203,88.5984115600586,85.5332717895508,0.269942223831489,0.615688483137388,5626.08133638822,53033007600,1,74,13280,0,99.9999999986011,Capitol Hill/E.lake,2200,42,Seattle - Capitol Hill,Seattle,1,53033007600,285.38,5,84.2,1,0.046,1,0,0,0,0,0,0,0,0,0,41.6,7.3,9.9,0.4508,1.7867,1.6836,0.4471,3.4771,7.3945,19.5,3,3,2,2,5,5,3,4,3,3,4,3,4,2,3,0,0,5,142935.920410156,1528.74411844708,0,2,Seattle,11.6,7.41386829481029,18.5,81.5089402529437,1,1,5
70,530330076002007,63.091344833374,89.0308609008789,86.1067390441895,0.28635845597344,0.691722645286025,6118.19281387329,53033007600,1,170,12657,0,100.000000000041,Capitol Hill/E.lake,2200,42,Seattle - Capitol Hill,Seattle,1,53033007600,285.38,5,84.2,1,0.046,1,0,0,0,0,0,0,0,0,0,41.6,7.3,9.9,0.4508,1.7867,1.6836,0.4471,3.4771,7.3945,19.5,3,3,2,2,5,5,3,4,3,2,5,3,5,2,4,0,0,5,136228.01083374,1490.7253206294,0,2,Seattle,11.6,7.41386829481029,18.5,81.5089402529437,1,1,5
71,530330079012002,63.938663482666,88.7973785400391,85.7827377319336,0.264191552327146,0.753661521616501,7131.35030171409,53033007901,1,272,13208,0,100.000000000546,Central Seattle,2300,34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",Seattle,1,53033007900,253.65,5,82.9,2,0.057,2,0,0,0,0,0,0,0,0,0,84.5,1.9,17.8,0.5232,2.4816,1.5646,0.4743,3.2662,7.7867,27.4,3,4,1,2,4,5,1,5,5,3,5,3,5,2,3,0,0,5,142159.307525635,1583.4490183499,0,2,Seattle,5.2,12.9434324065197,2.7,97.3145197997269,1,3,5
72,530330059021004,61.6345539093018,87.0882186889648,83.5236358642578,0.241916364003228,0.542371457165209,5517.81247558594,53033005902,1,59,16574,0,99.9999999999074,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033005900,123.28,1,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,15.1,4.2,3.8,0.2438,0.9849,2.0537,0.5856,2.3679,5.9921,12.8,2,1,2,2,3,2,2,2,1,3,4,2,3,1,1,0,0,1,178394.343414307,1873.66445764882,0,4,Seattle,24.6,15.1074956420686,66.4,33.6312849162011,5,4,3
73,530330059022008,61.4926528930664,87.7943725585938,84.0373916625977,0.2440405386116,0.603531406083665,5173.6864448635,53033005902,1,36,8785,0,99.9999999994145,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033005900,123.28,1,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,15.1,4.2,3.8,0.2438,0.9849,2.0537,0.5856,2.3679,5.9921,12.8,2,1,2,2,3,2,2,2,1,3,4,2,3,1,1,0,0,1,94556.8025512695,1245.63247141463,0,4,Seattle,24.6,15.1074956420686,66.4,33.6312849162011,5,4,3
74,530330059012006,61.7889213562012,88.0204544067383,84.2651901245117,0.285278629516065,0.463340466851307,4243.0125546875,53033005901,1,46,12544,0,99.9999999995067,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033005900,123.28,1,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,74.3,2.2,7.6,0.2749,1.9316,0.1985,0.6326,3.5121,6.2748,23.5,2,3,1,2,5,5,1,4,2,2,3,2,3,1,2,0,0,1,135019.503997803,1632.27659813029,0,4,Seattle,5.6,7.2093023255814,25.8,73.3780760626398,1,1,5
75,530330069001009,62.5541763305664,88.898681640625,85.6828460693359,0.354001575233472,0.479357258843534,2870.80865760216,53033006900,1,111,26008,0,99.9999999993083,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033006900,150.24,2,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,38.6,0.3,5.9,0.1538,0.9369,1.4924,0.3267,2.585,5.341,9,2,1,1,1,3,4,1,2,1,2,3,2,4,2,3,0,0,2,279941.520782471,2877.5075276995,0,4,Seattle,21,10.6640814348037,46.7,53.2979194333776,3,2,4
76,530330059022012,61.7533264160156,89.3330192565918,85.6319274902344,0.39507424609145,0.546023541614072,4620.25895703125,53033005902,1,41,12784,0,99.9999999999095,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033005900,123.28,1,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,15.1,4.2,3.8,0.2438,0.9849,2.0537,0.5856,2.3679,5.9921,12.8,2,1,2,2,3,2,2,2,1,2,4,2,3,3,3,0,0,1,137598.462799072,1516.91139849104,0,4,Seattle,24.6,15.1074956420686,66.4,33.6312849162011,5,4,3
77,530330059022022,61.579532623291,89.4728240966797,85.0759506225586,0.359818157144796,0.50701952971584,4304.62845611572,53033005902,1,40,6161,0,99.9999999969228,QA/Magnolia,2900,44,Seattle - Queen Anne,Seattle,1,53033005900,123.28,1,85.1,1,0.05,2,0,0,0,0,0,0,0,0,0,15.1,4.2,3.8,0.2438,0.9849,2.0537,0.5856,2.3679,5.9921,12.8,2,1,2,2,3,2,2,2,1,2,3,2,3,3,2,0,0,1,66309.0828552246,1159.37450154438,0,4,Seattle,24.6,15.1074956420686,66.4,33.6312849162011,5,4,3
